multiple_label,No,Source,Destination,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,Protocol,tcp_flag,ICMP_Type,ICMP_Code,Info,User_Agent,Length,Delta_Time,Relative_Time,Absolute_Time,Cumu_Bytes,TTL,Status_Code,Status_Code_Description,Content_Type,Referer,Request_Method,Cookie,http_server,http_request_uri_query,http_request_uri_query_parameter,Connection,http_request_uri_path,http_request_full_uri,Content_Length,Response_Line,Request_Line,issuerNameHash,HTTP_Host,Server_Name,producedAt,thisUpdate,nextUpdate,Cipher_Suite,Cipher_Suites_Length,Cipher_Spec,Cipher_Spec_Length,Compression_Method,Handshake_Type,Handshake_Message_Length,Certificate_Status_Type,TLS_Version,TLS_Length,Challenge_Length,Extension_Type,Extension_Length,Extensions_Length,EC_point_format,EC_point_formats_Length,ALPN_Next_Protocol,ALPN_string_Length,Signature_Hash_Algorithm_Hash,Supported_Groups_List_Length,Supported_Group,Renegotiation_info_extension_Length,Request_URI,label
benign,496824,fe80::c06e:84b6:bcb8:a750,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0xcd223b CID: 000100011751c3220800273c8dc9 ,,146,16.003231,3197263.222996,1970-02-07 00:07:43.223016,240859557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,216876,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2086368196 Ack=1952914996 Win=65535 Len=1030",,1084,2.79753,1550287.652109,1970-01-18 22:38:07.652129,98776145,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,236920,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2095238556 Ack=1952914996 Win=65535 Len=1030",,1084,2.806723,1669576.51252,1970-01-20 07:46:16.512540,108900151,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,550362,fe80::c06e:84b6:bcb8:a750,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0xf953ba CID: 000100011751c3220800273c8dc9 ,,146,4.004954,3503843.286407,1970-02-10 13:17:23.286427,268089327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,243081,10.0.2.103,76.222.222.168,,,1416.0,1893.0,UDP,,,,1416  >  1893 Len=201,,243,8.912675,1812977.865056,1970-01-21 23:36:17.865073,66437405,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,356959,fe80::c06e:84b6:bcb8:a750,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0xa9523f CID: 000100011751c3220800273c8dc9 ,,146,364.006275,2373924.558136,1970-01-28 11:25:24.558156,169851115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,431492,147.32.84.165,184.173.217.40,22106.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 22106  >  443 [SYN] Seq=2518357990 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,1e-05,56740.973679,2011-08-16 08:02:46.324644,106728285,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Zeus,275544,10.0.2.103,54.83.43.69,60881.0,80.0,,,TCP,0x010,,,60881  >  80 [ACK] Seq=1147398973 Ack=2063560706 Win=64240 Len=0,,54,0.000167,2061722.735544,1970-01-24 20:42:02.735561,75318340,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,387683,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2162366746 Ack=1952914996 Win=65535 Len=1030",,1084,2.796634,2553948.552093,1970-01-30 13:25:48.552113,185461115,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,286863,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2117377376 Ack=1952914996 Win=65535 Len=1030",,1084,2.797305,1960864.279605,1970-01-23 16:41:04.279625,134158805,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,317520,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2130984706 Ack=1952914996 Win=65535 Len=1030",,1084,2.794405,2142926.782448,1970-01-25 19:15:26.782468,149682921,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,158508,173.194.122.31,10.0.2.103,443.0,55580.0,,,SSLv3,0x010,,,Continuation Data,,1474,1.5e-05,1192563.045227,1970-01-14 19:16:03.045244,44042571,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,23077,147.32.84.165,94.245.116.13,1725.0,443.0,,,TCP,0x010,,,[TCP Dup ACK 23072#1] 1725  >  443 [ACK] Seq=1165356249 Ack=3185801732 Win=64240 Len=0,,60,0.0021969999999999,711.602674,2011-08-15 16:04:35.084108,14050984,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,571336,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2244059136 Ack=1952914996 Win=65535 Len=1030",,1084,2.796347,3632043.011731,1970-02-12 00:54:03.011751,278639265,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
PlugX1,635,185.239.226.65,192.168.100.197,443.0,59093.0,,,TCP,0x014,,,"443  >  59093 [RST, ACK] Seq=2424325229 Ack=368364626 Win=64256 Len=0",,54,1.6588459999999998,840.20439,2020-10-31 11:56:01.814382,40469,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,40031,147.32.84.165,147.32.80.9,,,4872.0,53.0,DNS,,,,Standard query 0xf9a4 A gmail.com,,69,9e-06,2514.989571,2011-08-15 16:59:00.340536,11365949,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,121733,fe80::50be:8acf:be49:8c14,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0x9c3a6d CID: 000100011751c3220800273c8dc9 ,,146,8.001438,911293.102972,1970-01-11 13:08:13.102989,34135372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,173819,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2067258606 Ack=1952914996 Win=65535 Len=1030",,1084,2.802887,1286219.025723,1970-01-15 21:16:59.025743,76954555,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
onionduke1,57,192.168.100.2,192.168.100.236,,,53.0,54690.0,DNS,,,,Standard query response 0xa54d A rombeast.site50.net A 153.92.0.100,,95,0.019937,61.01894300000001,2020-10-31 12:08:58.589381,4487,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,395305,147.32.84.165,184.173.217.40,18538.0,443.0,,,TCP,0x002,,,18538  >  443 [SYN] Seq=3707096395 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,0.841566,49810.773019,2011-08-16 06:07:16.123984,102554285,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,114247,10.0.2.103,76.222.222.168,,,1416.0,1893.0,UDP,,,,1416  >  1893 Len=155,,197,5.767361,854666.18631,1970-01-10 21:24:26.186327,32139584,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,423475,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2178378096 Win=65535 Len=0,,54,0.202926,2767029.262359,1970-02-02 00:37:09.262379,203720249,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,108046,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x010,,,5552  >  49178 [ACK] Seq=2038172348 Ack=1952914908 Win=65535 Len=0,,54,0.000139,886963.948392,1970-01-11 06:22:43.948412,43727025,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,614213,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2263017316 Ack=1952914996 Win=65535 Len=1030",,1084,2.800824,3882176.902609,1970-02-14 22:22:56.902629,300266093,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,261584,10.0.2.103,74.125.133.147,60302.0,80.0,,,TCP,0x010,,,60302  >  80 [ACK] Seq=92218552 Ack=1832585246 Win=63701 Len=0,,54,0.000134,1954826.528663,1970-01-23 15:00:26.528680,71500112,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,50373,10.0.2.103,88.173.210.182,,,1416.0,2522.0,UDP,,,,1416  >  2522 Len=123,,165,5.547657,361612.975618,1970-01-05 04:26:52.975635,14988780,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,443832,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2187406046 Ack=1952914996 Win=65535 Len=1030",,1084,2.810538,2887910.538795,1970-02-03 10:11:50.538815,214020987,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,317857,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2131135086 Win=64505 Len=0,,54,0.19827,2144800.625992,1970-01-25 19:46:40.626012,149853037,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,284753,147.32.84.165,184.173.217.40,8292.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 8292  >  443 [SYN] Seq=1903605445 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,1e-05,28462.449022000004,2011-08-16 00:11:27.799987,91234031,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,516904,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2220018936 Ack=1952914996 Win=65535 Len=1030",,1084,2.7957490000000003,3301970.079896,1970-02-08 05:12:50.079916,251174829,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,51433,10.0.2.104,147.32.83.57,49174.0,5552.0,,,TCP,0x010,,,49174  >  5552 [ACK] Seq=3725925774 Ack=24674300 Win=64505 Len=0,,54,0.198653,366694.706372,1970-01-05 05:51:34.706392,23313798,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,54581,10.0.2.103,173.194.122.20,51278.0,80.0,,,TCP,0x010,,,51278  >  80 [ACK] Seq=493921288 Ack=907328002 Win=64240 Len=0,,54,0.0001199999999999,394346.853663,1970-01-05 13:32:26.853680,16113945,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,501493,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2213125146 Win=65535 Len=0,,54,0.199731,3221221.82033,1970-02-07 06:47:01.820350,243333829,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,115490,54.83.43.69,10.0.2.103,80.0,53809.0,,,TCP,0x010,,,80  >  53809 [ACK] Seq=1919296454 Ack=3379259843 Win=65535 Len=0,,54,9.6e-05,863686.5956,1970-01-10 23:54:46.595617,32474455,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,263745,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2107172136 Ack=1952914996 Win=65535 Len=1030",,1084,2.797792,1826078.798844,1970-01-22 03:14:38.798864,122512399,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,108982,fe80::50be:8acf:be49:8c14,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0xedf9d5 CID: 000100011751c3220800273c8dc9 ,,146,16.002291,813947.46183,1970-01-10 10:05:47.461847,30734893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,427206,10.0.2.103,108.234.133.110,,,1416.0,8387.0,UDP,,,,1416  >  8387 Len=262,,304,1.572067,3214514.212116,1970-02-07 04:55:14.212133,117390085,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,55540,147.32.84.165,184.173.217.40,3019.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 3019  >  443 [SYN] Seq=2501240094 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,1e-05,3943.08896,2011-08-15 17:22:48.439925,15050303,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,594728,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2254419906 Win=64505 Len=0,,54,0.201237,3768547.211844,1970-02-13 14:49:07.211864,290455295,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,338421,184.173.217.40,147.32.84.165,443.0,12778.0,,,TCP,0x014,,,"443  >  12778 [RST, ACK] Seq=0 Ack=1653701572 Win=0 Len=0",,60,0.146139,38322.19348,2011-08-16 02:55:47.544445,96952865,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Virut1,27978,147.32.84.165,212.117.171.138,1769.0,65500.0,,,TCP,0x018,,,"[TCP Out-Of-Order] 1769  >  65500 [PSH, ACK] Seq=839532005 Ack=1787259849 Win=63842 Len=892",,946,0.00722,736.633009,2011-08-15 16:05:00.114443,18071027,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,208645,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2082655046 Win=65535 Len=0,,54,0.000127,1499961.681687,1970-01-18 08:39:21.681707,94543233,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,246139,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2099307056 Win=65535 Len=0,,54,0.203175,1723425.112087,1970-01-20 22:43:45.112107,113541335,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,74945,10.0.2.103,99.26.122.34,,,1416.0,5474.0,UDP,,,,1416  >  5474 Len=126,,168,5.197583,552312.709236,1970-01-07 09:25:12.709253,21589576,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,111267,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2039468176 Win=64505 Len=0,,54,0.194259,911203.879183,1970-01-11 13:06:43.879203,45231495,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,398517,173.194.67.94,10.0.2.103,443.0,49708.0,,,TCP,0x010,,,443  >  49708 [ACK] Seq=331345410 Ack=2485957018 Win=65535 Len=0,,54,5.4000000000000005e-05,2993993.391839,1970-02-04 15:39:53.391856,109428373,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,351451,10.0.2.103,108.92.60.184,,,1416.0,1832.0,UDP,,,,1416  >  1832 Len=104,,146,0.801718,2641163.111162,1970-01-31 13:39:23.111179,96594663,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
