Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Activity,Stage,__source_file
192.168.3.30-91.189.94.4-36944-123-17,192.168.3.30,36944,91.189.94.4,123,17,17/07/2019 04:26:52 PM,131540,0,2,0.0,96.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,0.0,729.816025544,15.2045005322,131540.0,0.0,131540.0,131540.0,0.0,0.0,0.0,0.0,0.0,131540.0,131540.0,0.0,131540.0,131540.0,0,0,0,0,0,16,0.0,15.2045005322,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,0.0,48.0,0,0,0,0,0,0,0,0,2,96,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-pvt-wednesday.pcap_Flow.csv
192.168.3.29-206.207.50.50-80-53354-6,206.207.50.50,53354,192.168.3.29,80,6,16/07/2019 01:27:13 PM,1431,2,5,288.0,484.0,288.0,0.0,144.0,203.646752982,484.0,0.0,96.8,216.451380222,539482.8791060001,4891.68413697,238.5,236.893013827,661.0,36.0,36.0,36.0,0.0,36.0,36.0,1431.0,357.75,326.922391402,814.0,115.0,0,0,0,0,64,176,1397.62403913,3494.06009783,0.0,484.0,96.5,186.203421788,34671.7142857,0,1,0,0,0,0,0,0,2.0,110.285714286,144.0,96.8,0,0,0,0,0,0,2,288,5,484,-1,59,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Network Scan,Reconnaissance,enp0s3-public-tuesday.pcap_Flow.csv
192.168.3.29-206.207.50.50-9000-42624-6,206.207.50.50,42624,192.168.3.29,9000,6,16/07/2019 05:14:58 PM,215,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13953.488372100002,107.5,137.885822331,205.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,9302.3255814,4651.1627907,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,1444,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Directory Bruteforce,Reconnaissance,enp0s3-public-tuesday.pcap_Flow.csv
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,17/07/2019 09:34:58 PM,60003181,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333315662048,60003181.0,0.0,60003181.0,60003181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166657831024,0.0166657831024,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,60003181.0,0.0,60003181.0,60003181.0,Normal,Benign,enp0s3-pvt-wednesday.pcap_Flow.csv
184.98.36.245-192.168.3.29-47592-9000-6,184.98.36.245,47592,192.168.3.29,9000,6,16/07/2019 07:29:21 PM,18779,2,6,264.0,1298.0,264.0,0.0,132.0,186.676190233,894.0,0.0,216.333333333,369.22928739,83178.0179988,426.007774642,2682.71428571,4854.65833725,13276.0,40.0,3724.0,3724.0,0.0,3724.0,3724.0,18779.0,3755.8,7488.030729100001,17122.0,40.0,0,0,0,0,40,144,106.50194366,319.505830981,0.0,894.0,173.55555555599997,308.434397851,95131.7777778,0,1,0,0,0,0,0,0,3.0,195.25,132.0,216.333333333,0,0,0,0,0,0,2,264,6,1298,-1,60,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Vulnerability Scan,Reconnaissance,enp0s3-public-tuesday.pcap_Flow.csv
192.168.3.29-206.207.50.50-9002-45540-6,206.207.50.50,45540,192.168.3.29,9002,6,16/07/2019 01:38:19 PM,4844,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.881915772,4844.0,0.0,4844.0,4844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,206.440957886,206.440957886,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Network Scan,Reconnaissance,enp0s3-public-tuesday.pcap_Flow.csv
192.168.3.29-8.8.8.8-60944-53-17,192.168.3.29,60944,8.8.8.8,53,17,17/07/2019 07:59:11 PM,14519,1,3,45.0,228.0,45.0,45.0,45.0,0.0,106.0,45.0,76.0,30.5122926048,18802.947861400004,275.501067567,4839.66666667,7669.83704738,13696.0,391.0,0.0,0.0,0.0,0.0,0.0,14519.0,7259.5,9655.5430971,14087.0,432.0,0,0,0,0,8,24,68.8752668917,206.625800675,45.0,106.0,63.6,27.4554184088,753.8,0,0,0,0,0,0,0,0,3.0,79.5,45.0,76.0,0,0,0,0,0,0,1,45,3,228,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-public-wednesday.pcap_Flow.csv
192.168.3.29-206.207.50.50-9003-56868-6,206.207.50.50,56868,192.168.3.29,9003,6,17/07/2019 03:58:39 PM,288656,103,105,11451.0,46315.0,128.0,0.0,111.174757282,16.2814866501,479.0,0.0,441.095238095,88.32474213530001,200120.558727,720.5808990630002,1394.47342995,1177.40258312,6083.0,45.0,287734.0,2820.92156863,1313.38114551,6555.0,185.0,288656.0,2775.53846154,1312.04820924,7181.0,74.0,0,0,0,0,3296,3376,356.826118286,363.754780777,0.0,479.0,276.392344498,177.78927981799995,31609.028018,0,1,0,0,0,0,0,0,1.0,277.721153846,111.174757282,441.095238095,0,0,0,0,0,0,103,11451,105,46315,-1,235,101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Directory Bruteforce,Establish Foothold,enp0s3-public-wednesday.pcap_Flow.csv
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,15/07/2019 04:31:45 PM,100020881,20,1,1016.0,52.0,56.0,48.0,50.8,2.627786741327144,52.0,52.0,52.0,0.0,10.677770374768045,0.2099561590544278,5001044.049999999,7517646.240245284,20007099.0,2.0,80014211.0,4211274.263157895,6818134.702218495,20007099.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,8,0.1999582467185027,0.0099979123359251,48.0,56.0,50.90909090909091,2.524340383604076,6.372294372294372,0,0,0,0,0,0,0,0,0.0,53.33333333333334,50.8,52.0,0,0,0,0,0,0,20,1016,1,52,-1,-1,20,0,2934020.666666667,3152738.733784538,6267446.0,40.0,15203136.5,5591622.321862475,20007099.0,7909746.0,Normal,Benign,enp0s3-monday.pcap_Flow.csv
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 12:15:03 PM,112787473,32,1,1624.0,52.0,56.0,48.0,50.75,2.36915664864,52.0,52.0,52.0,0.0,14.8598062836,0.292585684582,3524608.53125,7095462.637310001,20019621.0,2.0,95060477.0,3066467.0,6714409.32574,20019621.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,256,8,0.283719451716,0.00886623286613,48.0,56.0,50.8235294118,2.31556771277,5.3618538324400005,0,0,0,0,0,0,0,0,0.0,52.3636363636,50.75,52.0,0,0,0,0,0,0,32,1624,1,52,-1,-1,32,0,3632062.0,0.0,3632062.0,3632062.0,17595912.0,4227957.18004,20019621.0,9180347.0,Normal,Benign,enp0s3-public-thursday.pcap_Flow.csv
192.168.3.29-8.8.8.8-57645-53-17,192.168.3.29,57645,8.8.8.8,53,17,16/07/2019 06:42:16 PM,14801,1,3,44.0,176.0,44.0,44.0,44.0,0.0,72.0,44.0,58.6666666667,14.0475383371,14863.86055,270.252009999,4933.66666667,8269.36813386,14481.0,23.0,0.0,0.0,0.0,0.0,0.0,14801.0,7400.5,10433.3605564,14778.0,23.0,0,0,0,0,8,24,67.56300249979999,202.689007499,44.0,72.0,52.8,12.7749755381,163.2,0,0,0,0,0,0,0,0,3.0,66.0,44.0,58.6666666667,0,0,0,0,0,0,1,44,3,176,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,enp0s3-public-tuesday.pcap_Flow.csv
192.168.3.29-8.8.8.8-54421-53-17,192.168.3.29,54421,8.8.8.8,53,17,17/07/2019 02:40:42 PM,14226,1,3,45.0,228.0,45.0,45.0,45.0,0.0,106.0,45.0,76.0,30.5122926048,19190.2150991,281.175312808,4742.0,8098.30482262,14093.0,26.0,0.0,0.0,0.0,0.0,0.0,14226.0,7113.0,10022.5315165,14200.0,26.0,0,0,0,0,8,24,70.2938282019,210.881484606,45.0,106.0,63.6,27.4554184088,753.8,0,0,0,0,0,0,0,0,3.0,79.5,45.0,76.0,0,0,0,0,0,0,1,45,3,228,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-public-wednesday.pcap_Flow.csv
192.168.3.29-206.207.50.50-80-48372-6,206.207.50.50,48372,192.168.3.29,80,6,16/07/2019 05:13:43 PM,73,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27397.260274,73.0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,0.0,73.0,73.0,0,0,0,0,0,64,0.0,27397.260274,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,128,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Directory Bruteforce,Reconnaissance,enp0s3-public-tuesday.pcap_Flow.csv
192.168.3.1-192.168.3.30-34479-7920-6,192.168.3.1,34479,192.168.3.30,7920,6,15/07/2019 01:57:13 PM,16,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,16.0,16.0,0,0,0,0,0,44,0.0,125000.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-monday-pvt.pcap_Flow.csv
192.168.3.30-192.168.3.34-8081-50766-6,192.168.3.34,50766,192.168.3.30,8081,6,16/07/2019 06:58:44 PM,278,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.24460432,278.0,0.0,278.0,278.0,0.0,0.0,0.0,0.0,0.0,278.0,278.0,0.0,278.0,278.0,0,0,0,0,0,64,0.0,7194.24460432,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,257,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-pvt-tuesday.pcap_Flow.csv
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,16/07/2019 03:37:19 PM,117372561,87,1,25225.0,289.0,296.0,288.0,289.942528736,2.4416746152,289.0,289.0,289.0,0.0,217.376188971,0.749749338774,1349109.89655,1959190.00822,9677985.0,53808.0,116167734.0,1350787.60465,1970618.09466,9677985.0,53808.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,696,8,0.741229459925,0.00851987884971,288.0,296.0,289.921348315,2.41785366456,5.84601634321,0,0,0,0,0,0,0,0,0.0,293.215909091,289.942528736,289.0,0,0,0,0,0,0,87,25225,1,289,-1,-1,87,0,14828254.0,9082284.88569,19372098.0,1204827.0,9673868.5,3925.12127201,9677985.0,9668925.0,Normal,Benign,enp0s3-pvt-tuesday.pcap_Flow.csv
192.168.3.29-206.207.50.50-47957-1083-6,192.168.3.29,47957,206.207.50.50,1083,6,19/07/2019 03:17:19 PM,340,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5882.35294118,340.0,0.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,340.0,340.0,0.0,340.0,340.0,0,0,0,0,0,44,0.0,5882.35294118,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-tcpdump-friday.pcap_Flow.csv
192.168.3.29-35.166.72.120-58170-443-6,192.168.3.29,58170,35.166.72.120,443,6,15/07/2019 08:44:10 PM,61145518,14,12,1546.0,4198.0,872.0,0.0,110.42857142857144,259.25743496073085,3485.0,0.0,349.83333333333326,1003.5549387808896,93.93983709484642,0.4252151400532742,2445820.72,4397177.154394306,10202249.0,24.0,61100835.0,4700064.23076923,5251025.606916062,10246719.0,89.0,61145069.0,5558642.636363637,5283541.897514437,10246228.0,1147.0,0,0,0,0,448,400,0.2289619984902245,0.1962531415630496,0.0,3485.0,212.7407407407408,689.7456383218712,475749.0455840456,0,1,0,0,0,0,0,0,0.0,220.9230769230769,110.42857142857144,349.83333333333326,0,0,0,0,0,0,14,1546,12,4198,-1,126,4,0,79064.66666666666,86006.18406060501,254623.0,43622.0,10111780.166666666,131096.19490498805,10202249.0,9923495.0,Normal,Benign,enp0s3-monday.pcap_Flow.csv
192.168.3.29-35.166.166.56-57856-443-6,35.166.166.56,443,192.168.3.29,57856,6,16/07/2019 07:36:47 PM,24,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83333.3333333,24.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,24.0,24.0,0,0,0,0,0,64,0.0,83333.3333333,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,enp0s3-public-tuesday.pcap_Flow.csv
192.168.3.29-206.207.50.50-80-53976-6,192.168.3.29,80,206.207.50.50,53976,6,16/07/2019 01:33:09 PM,526,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3802.28136882,526.0,0.0,526.0,526.0,0.0,0.0,0.0,0.0,0.0,526.0,526.0,0.0,526.0,526.0,0,0,0,0,0,64,0.0,3802.28136882,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,251,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,enp0s3-public-tuesday.pcap_Flow.csv
172.217.11.78-192.168.3.29-443-36518-6,172.217.11.78,443,192.168.3.29,36518,6,17/07/2019 06:20:44 PM,13970,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.3333333333,17.8978583449,2219.04080172,357.909806729,3492.5,6957.66764081,13929.0,9.0,23.0,23.0,0.0,23.0,23.0,13956.0,6978.0,9842.92639412,13938.0,18.0,0,1,0,0,64,72,143.163922691,214.745884037,0.0,31.0,10.3333333333,16.0083311643,256.266666667,0,0,0,1,1,0,0,0,1.0,12.4,0.0,10.3333333333,0,0,0,0,0,0,2,0,3,31,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-public-wednesday.pcap_Flow.csv
192.168.3.30-192.168.3.34-80-53416-6,192.168.3.34,53416,192.168.3.30,80,6,16/07/2019 12:06:44 PM,1621,3,3,735.0,0.0,735.0,0.0,245.0,424.352447854,0.0,0.0,0.0,0.0,453423.812461,3701.41887724,324.2,185.394714056,598.0,180.0,1007.0,503.5,133.643181644,598.0,409.0,1394.0,697.0,731.148411747,1214.0,180.0,0,0,0,0,96,112,1850.70943862,1850.70943862,0.0,735.0,105.0,277.803887662,77175.0,0,1,0,0,0,0,0,0,1.0,122.5,245.0,0.0,0,0,0,0,0,0,3,735,3,0,-1,238,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-pvt-tuesday.pcap_Flow.csv
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,16/07/2019 06:17:56 PM,119873473,92,1,26670.0,289.0,296.0,288.0,289.891304348,2.38335123621,289.0,289.0,289.0,0.0,224.895461234,0.775818016051,1302972.53261,2011635.47628,9887127.0,1497.0,119487279.0,1313047.02198,2020445.26002,9887127.0,1497.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,736,8,0.767475886846,0.00834212920485,288.0,296.0,289.872340426,2.3611280453,5.57492564631,0,0,0,0,0,0,0,0,0.0,292.989247312,289.891304348,289.0,0,0,0,0,0,0,92,26670,1,289,-1,-1,92,0,15988437.75,6364665.89702,19179921.0,6441451.0,9872466.25,15674.9810712,9887127.0,9857309.0,Normal,Benign,enp0s3-pvt-tuesday.pcap_Flow.csv
